OVERALL INDIVIDUAL RESULTS:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,NGB,NGB ID,UCI ID
88863,2,1,James Eastwood,Chaos,GBR,1800,0,19800,0,0,Male,212354980F57BA1B,1023,Gold 2,1257,Gold 2,40-44,British Cycling,1652049,10116817585
88863,2,2,Evelyn Davis,Douvan,ITA,1800.01,0.01,19800,0,0,Bot,Bot4294,972,Gold 1,972,Gold 1,,,,
88863,2,3,Evelyn Lewis,Ampex,CAN,1804.248,4.248,19800,0,0,Bot,Bot6452,1117,Gold 3,1117,Gold 3,,,,
88863,2,4,Matthew Rodriguez,Chaos,NZL,1805.913,5.913,19800,0,0,Bot,Bot3343,1228,Platinum 1,1228,Platinum 1,,,,
88863,2,5,Sam Lopez,,GBR,1811.696,11.696,19800,0,0,Bot,Bot4234,1221,Platinum 1,1221,Platinum 1,,,,
88863,2,6,Jordan Martinez,,ESP,1815.023,15.023,19800,0,0,Bot,Bot3939,969,Gold 1,969,Gold 1,,,,
88863,2,7,Emma Williams,,ENG,1815.873,15.873,19800,0,0,Bot,Bot9054,915,Gold 1,915,Gold 1,,,,
88863,2,8,Riley Robinson,,AUS,1820.087,20.087,19800,0,0,Bot,Bot7767,1101,Gold 3,1101,Gold 3,,,,
88863,2,9,Ava Davis,Delta,WLS,1814.784,14.784,19800,0,0,Bot,Bot9441,1165,Gold 3,1165,Gold 3,,,,
88863,2,10,Ethan Smith,,FRA,1815.475,15.475,19800,0,0,Bot,Bot8379,1255,Platinum 1,1255,Platinum 1,,,,
88863,2,11,Michael White,,GBR,1821.1,21.1,19800,0,0,Bot,Bot4357,1082,Gold 2,1082,Gold 2,,,,
88863,2,12,Olivia Walker,Patriot,ENG,1826.878,26.878,19800,0,0,Bot,Bot8572,979,Gold 1,979,Gold 1,,,,
88863,2,13,Riley Brown,,WLS,1822.306,22.306,19800,0,0,Bot,Bot3931,1027,Gold 2,1027,Gold 2,,,,
88863,2,14,James Harris,Monova,SCO,1824.598,24.598,19800,0,0,Bot,Bot2675,895,Silver 3,895,Silver 3,,,,
88863,2,15,Sophia Lee,,NZL,1825.7,25.7,19800,0,0,Bot,Bot8361,977,Gold 1,977,Gold 1,,,,
88863,2,16,Lucas Hernandez,,ESP,1834.285,34.285,19800,0,0,Bot,Bot5168,1009,Gold 2,1009,Gold 2,,,,
88863,2,17,Henry Williams,Base,ESP,1840.012,40.012,19800,0,0,Bot,Bot5765,1182,Gold 3,1182,Gold 3,,,,
88863,2,18,Daniel Thompson,,BEL,1834.536,34.536,19800,0,0,Bot,Bot3389,930,Gold 1,930,Gold 1,,,,
88863,2,19,Isabella Smith,,ENG,1849.083,49.083,19800,0,0,Bot,Bot7382,989,Gold 1,989,Gold 1,,,,
88863,2,20,Matthew Williams,,GER,1853.263,53.263,19800,0,0,Bot,Bot3864,1006,Gold 2,1006,Gold 2,,,,
